embedding_model,state,r2_readi,r2_svi,r2_sdi,r2_emb,n_outcomes,n_tracts
Prithvi-EO-2.0 300M-TL,OK,0.5573,0.2999,0.4032,0.259,40,1197
Prithvi-EO-2.0 300M-TL,OR,0.4324,0.1406,0.215,0.3421,33,990
Prithvi-EO-2.0 300M-TL,PA,0.6758,0.373,0.5214,0.318,5,3382
Prithvi-EO-2.0 300M-TL,RI,0.5149,0.4054,0.3998,0.3344,40,246
Prithvi-EO-2.0 300M-TL,SC,0.5598,0.2864,0.3862,0.2703,40,1312
Prithvi-EO-2.0 300M-TL,SD,0.4072,0.2018,0.2513,0.0799,33,242
Prithvi-EO-2.0 300M-TL,TN,0.5539,0.227,0.3507,0.2834,33,1681
Prithvi-EO-2.0 300M-TL,TX,0.5267,0.3129,0.3735,0.3195,33,6792
Prithvi-EO-2.0 300M-TL,UT,0.372,0.2248,0.2323,0.2694,40,710
Prithvi-EO-2.0 300M-TL,VA,0.5272,0.1601,0.3322,0.3606,40,2153
Prithvi-EO-2.0 300M-TL,VT,0.3427,0.0738,0.0926,0.0724,33,192
Prithvi-EO-2.0 300M-TL,WA,0.4523,0.1629,0.2098,0.363,33,1757
Prithvi-EO-2.0 300M-TL,WI,0.5449,0.2907,0.4197,0.4315,40,1514
Prithvi-EO-2.0 300M-TL,WV,0.5298,0.1708,0.3076,0.2478,40,545
Prithvi-EO-2.0 300M-TL,WY,0.2736,0.1543,0.143,0.0516,33,159
Prithvi-EO-2.0 Tiny-TL,AL,0.5742,0.2797,0.4135,0.1839,40,1430
Prithvi-EO-2.0 Tiny-TL,AR,0.5393,0.2141,0.3118,0.1406,40,718
Prithvi-EO-2.0 Tiny-TL,AZ,0.4998,0.3213,0.3842,0.2918,40,1738
Prithvi-EO-2.0 Tiny-TL,CA,0.5114,0.245,0.3361,0.1277,40,3135
Prithvi-EO-2.0 Tiny-TL,CO,0.4156,0.2385,0.2238,0.2193,33,1431
Prithvi-EO-2.0 Tiny-TL,DC,0.5986,0.3484,0.4422,0.0177,40,190
Prithvi-EO-2.0 Tiny-TL,DE,0.4146,0.1706,0.3357,0.2229,40,256
Prithvi-EO-2.0 Tiny-TL,FL,0.4309,0.1968,0.3042,0.1856,33,5059
Prithvi-EO-2.0 Tiny-TL,GA,0.5456,0.235,0.3787,0.2563,40,2780
Prithvi-EO-2.0 Tiny-TL,IA,0.525,0.1776,0.3384,0.1485,40,894
Prithvi-EO-2.0 Tiny-TL,ID,0.429,0.2153,0.2663,0.231,40,449
Prithvi-EO-2.0 Tiny-TL,IL,0.5649,0.2237,0.3942,0.2874,40,3187
Prithvi-EO-2.0 Tiny-TL,IN,0.5509,0.254,0.4172,0.2555,40,1685
Prithvi-EO-2.0 Tiny-TL,KS,0.5498,0.3345,0.4106,0.2855,40,816
Prithvi-EO-2.0 Tiny-TL,KY,0.7132,0.3033,0.5218,0.251,5,1299
Prithvi-EO-2.0 Tiny-TL,LA,0.6071,0.2845,0.4172,0.1344,40,1365
Prithvi-EO-2.0 Tiny-TL,MA,0.5656,0.3154,0.3875,0.2602,40,1567
Prithvi-EO-2.0 Tiny-TL,MD,0.5101,0.1781,0.3862,0.2456,40,1444
Prithvi-EO-2.0 Tiny-TL,ME,0.4497,0.2253,0.2457,0.2891,40,400
Prithvi-EO-2.0 Tiny-TL,MI,0.5965,0.285,0.4645,0.2705,40,2900
Prithvi-EO-2.0 Tiny-TL,MN,0.4833,0.2517,0.3508,0.2502,40,1498
Prithvi-EO-2.0 Tiny-TL,MO,0.5454,0.2784,0.3717,0.18,40,1648
Prithvi-EO-2.0 Tiny-TL,MS,0.5841,0.2384,0.3989,0.1275,40,870
Prithvi-EO-2.0 Tiny-TL,MT,0.4015,0.2877,0.2169,0.1353,40,317
Prithvi-EO-2.0 Tiny-TL,NC,0.5556,0.2723,0.3889,0.2682,40,2647
Prithvi-EO-2.0 Tiny-TL,ND,0.3013,0.1555,0.2042,0.0994,40,228
Prithvi-EO-2.0 Tiny-TL,NE,0.4982,0.3051,0.392,0.1514,40,551
Prithvi-EO-2.0 Tiny-TL,NH,0.4039,0.2431,0.2558,0.201,40,346
Prithvi-EO-2.0 Tiny-TL,NJ,0.5543,0.2915,0.4395,0.2833,40,2135
Prithvi-EO-2.0 Tiny-TL,NM,0.5377,0.2435,0.3357,0.2372,40,602
Prithvi-EO-2.0 Tiny-TL,NV,0.518,0.3313,0.4191,0.2462,40,766
Prithvi-EO-2.0 Tiny-TL,NY,0.4916,0.21560000000000001,0.3724,0.2361,40,4685
Prithvi-EO-2.0 Tiny-TL,OH,0.61240000000000006,0.3049,0.4669,0.2373,40,3154
Prithvi-EO-2.0 Tiny-TL,OK,0.5573,0.2999,0.4032,0.1429,40,1197
Prithvi-EO-2.0 Tiny-TL,OR,0.4324,0.1406,0.215,0.2829,33,990
Prithvi-EO-2.0 Tiny-TL,PA,0.6758,0.373,0.5214,0.2552,5,3382
Prithvi-EO-2.0 Tiny-TL,RI,0.5149,0.4054,0.3998,0.2996,40,246
Prithvi-EO-2.0 Tiny-TL,SC,0.5598,0.2864,0.3862,0.2295,40,1312
Prithvi-EO-2.0 Tiny-TL,SD,0.4072,0.2018,0.2513,-0.0708,33,242
Prithvi-EO-2.0 Tiny-TL,TN,0.5539,0.227,0.3507,0.2162,33,1681
Prithvi-EO-2.0 Tiny-TL,TX,0.5267,0.3129,0.3735,0.2291,33,6792
Prithvi-EO-2.0 Tiny-TL,UT,0.372,0.2248,0.2323,0.2123,40,710
Prithvi-EO-2.0 Tiny-TL,VA,0.5272,0.1601,0.3322,0.304,40,2153
Prithvi-EO-2.0 Tiny-TL,VT,0.3427,0.0738,0.0926,-0.0606,33,192
Prithvi-EO-2.0 Tiny-TL,WA,0.4523,0.1629,0.2098,0.3295,33,1757
Prithvi-EO-2.0 Tiny-TL,WI,0.5449,0.2907,0.4197,0.349,40,1514
Prithvi-EO-2.0 Tiny-TL,WV,0.5298,0.1708,0.3076,0.1929,40,545
Prithvi-EO-2.0 Tiny-TL,WY,0.2736,0.1543,0.143,0.0418,33,159
