embedding_model,index,outcome,outcome_label,r2_index,r2_resid_explained_by_emb,delta_r2,pct_unexplained_var,r2_sequential_combined,n_train,n_test
Clay-v1.5,SVI,SHUTUTILITY,Utility shutoff,0.089,-0.0841,0,0,0.089,38866,16138
Clay-v1.5,SVI,SLEEP,Short sleep duration,-0.0469,-0.154,0,0,-0.0469,57342,19512
Clay-v1.5,SVI,STROKE,Stroke,0.0379,0.1772,0.1705,0.1772,0.2084,52755,19512
Clay-v1.5,SVI,TEETHLOST,Tooth loss,0.0872,0.0593,0.0541,0.0593,0.1413,57320,19506
Clay-v1.5,SVI,VISION,Vision disability,0.3556,0.0319,0.0206,0.0319,0.3762,52755,19512
OlmoEarth-1.2 Base,ReADI,ACCESS2,Lack of health insurance,0.5564,-0.369,0,0,0.5564,54519,21672
OlmoEarth-1.2 Base,ReADI,ARTHRITIS,Arthritis,0.0474,0.5135,0.4891,0.5135,0.5365,54519,21672
OlmoEarth-1.2 Base,ReADI,BINGE,Binge drinking,0.1255,0.1238,0.1083,0.1238,0.2338,54519,21672
OlmoEarth-1.2 Base,ReADI,BPHIGH,High blood pressure,0.1779,0.4434,0.3645,0.4434,0.5424,54519,21672
OlmoEarth-1.2 Base,ReADI,BPMED,BP medication use,-0.1216,0.4088,0.4585,0.4088,0.3369,54519,21672
OlmoEarth-1.2 Base,ReADI,CANCER,Cancer (excl. skin),0.0658,0.4472,0.4178,0.4473,0.4836,54519,21672
OlmoEarth-1.2 Base,ReADI,CASTHMA,Current asthma,0.2682,0.3923,0.2871,0.3923,0.5553,54519,21672
OlmoEarth-1.2 Base,ReADI,CHD,Coronary heart disease,0.2783,0.3651,0.2635,0.3651,0.5418,54519,21672
OlmoEarth-1.2 Base,ReADI,CHECKUP,Annual checkup,-0.2117,0.4889,0.5923,0.4888,0.3806,54519,21672
OlmoEarth-1.2 Base,ReADI,CHOLSCREEN,Cholesterol screening,0.3546,0.3057,0.1973,0.3057,0.5519,54519,21672
OlmoEarth-1.2 Base,ReADI,COGNITION,Cognitive decline,0.7592,-0.0113,0,0,0.7592,54519,21672
OlmoEarth-1.2 Base,ReADI,COLON_SCREEN,Colorectal cancer screening,0.21,0.4611,0.3643,0.4611,0.5743,59103,21671
OlmoEarth-1.2 Base,ReADI,COPD,COPD,0.4925,0.4045,0.2053,0.4045,0.6978,54519,21672
OlmoEarth-1.2 Base,ReADI,CSMOKING,Current smoking,0.7358,0.2168,0.0573,0.2169,0.7931,54519,21672
OlmoEarth-1.2 Base,ReADI,DENTAL,Dental visit,0.8091,-0.0031,0,0,0.8091,59105,21672
OlmoEarth-1.2 Base,ReADI,DEPRESSION,Depression,-0.1154,-0.0355,0,0,-0.1154,54519,21672
OlmoEarth-1.2 Base,ReADI,DIABETES,Diabetes,0.5521,0.2282,0.1022,0.2282,0.6543,54519,21672
OlmoEarth-1.2 Base,ReADI,DISABILITY,Any disability,0.8041,0.0071,0.0014,0.0071,0.8055,54519,21672
OlmoEarth-1.2 Base,ReADI,EMOTIONSPT,Emotional support,0.1307,0.2855,0.2482,0.2855,0.3789,39650,18298
OlmoEarth-1.2 Base,ReADI,FOODINSECU,Food insecurity,0.7415,0.3148,0.0814,0.3149,0.8229,39650,18298
OlmoEarth-1.2 Base,ReADI,FOODSTAMP,Food stamp use,0.7121,-0.0069,0,0,0.7121,39650,18298
OlmoEarth-1.2 Base,ReADI,GHLTH,Fair/poor general health,0.7471,0.2004,0.0507,0.2005,0.7978,54519,21672
OlmoEarth-1.2 Base,ReADI,HEARING,Hearing disability,0.1772,0.2746,0.226,0.2746,0.4032,54519,21672
OlmoEarth-1.2 Base,ReADI,HIGHCHOL,High cholesterol,-0.1048,0.2938,0.3246,0.2938,0.2198,54519,21672
OlmoEarth-1.2 Base,ReADI,HOUSINSECU,Housing insecurity,0.6422,0.3295,0.1179,0.3295,0.7601,39650,18298
OlmoEarth-1.2 Base,ReADI,INDEPLIVE,Independent living difficulty,0.8713,-0.2078,0,0,0.8713,54519,21672
OlmoEarth-1.2 Base,ReADI,LACKTRPT,Lack of transportation,0.747,0.3148,0.0796,0.3148,0.8266,39650,18298
OlmoEarth-1.2 Base,ReADI,LONELINESS,Loneliness,0.0431,0.128,0.1224,0.128,0.1655,39650,18298
OlmoEarth-1.2 Base,ReADI,LPA,Physical inactivity,0.763,0.1797,0.0426,0.1797,0.8056,54519,21672
OlmoEarth-1.2 Base,ReADI,MAMMOUSE,Mammography use,0.3255,0.1447,0.0976,0.1447,0.4231,59074,21664
OlmoEarth-1.2 Base,ReADI,MHLTH,Poor mental health days,0.601,0.0182,0.0073,0.0182,0.6083,54519,21672
OlmoEarth-1.2 Base,ReADI,MOBILITY,Mobility disability,0.6683,0.2195,0.0728,0.2195,0.7411,54519,21672
OlmoEarth-1.2 Base,ReADI,OBESITY,Obesity,0.453,0.2751,0.1505,0.2751,0.6035,54519,21672
OlmoEarth-1.2 Base,ReADI,PHLTH,Poor physical health days,0.7439,0.1911,0.0489,0.1911,0.7928,54519,21672
OlmoEarth-1.2 Base,ReADI,SELFCARE,Self-care disability,0.8046,0.0752,0.0147,0.0752,0.8193,54519,21672
OlmoEarth-1.2 Base,ReADI,SHUTUTILITY,Utility shutoff,0.7891,0.0813,0.0171,0.0813,0.8062,39650,18298
OlmoEarth-1.2 Base,ReADI,SLEEP,Short sleep duration,0.4784,0.0553,0.0289,0.0553,0.5073,59105,21672
OlmoEarth-1.2 Base,ReADI,STROKE,Stroke,0.4841,0.2874,0.1482,0.2873,0.6323,54519,21672
OlmoEarth-1.2 Base,ReADI,TEETHLOST,Tooth loss,0.8252,0.0614,0.0107,0.0613,0.8359,59080,21666
OlmoEarth-1.2 Base,ReADI,VISION,Vision disability,0.8076,0.2888,0.0556,0.2888,0.8632,54519,21672
OlmoEarth-1.2 Base,SDI,ACCESS2,Lack of health insurance,0.4203,-0.5971,0,0,0.4203,54519,21672
OlmoEarth-1.2 Base,SDI,ARTHRITIS,Arthritis,-0.0314,0.448,0.4621,0.448,0.4307,54519,21672
OlmoEarth-1.2 Base,SDI,BINGE,Binge drinking,0.0358,0.1431,0.138,0.1431,0.1738,54519,21672
OlmoEarth-1.2 Base,SDI,BPHIGH,High blood pressure,-0.1748,0.4431,0.5206,0.4431,0.3458,54519,21672
OlmoEarth-1.2 Base,SDI,BPMED,BP medication use,-0.0297,0.322,0.3316,0.322,0.3019,54519,21672
OlmoEarth-1.2 Base,SDI,CANCER,Cancer (excl. skin),0.3253,0.3226,0.2177,0.3226,0.543,54519,21672
OlmoEarth-1.2 Base,SDI,CASTHMA,Current asthma,0.0585,0.4741,0.4464,0.4741,0.5049,54519,21672
OlmoEarth-1.2 Base,SDI,CHD,Coronary heart disease,-0.0459,0.3614,0.378,0.3615,0.3321,54519,21672
OlmoEarth-1.2 Base,SDI,CHECKUP,Annual checkup,-0.1091,0.4779,0.53,0.4779,0.4209,54519,21672
OlmoEarth-1.2 Base,SDI,CHOLSCREEN,Cholesterol screening,0.4886,0.2145,0.1097,0.2145,0.5983,54519,21672
OlmoEarth-1.2 Base,SDI,COGNITION,Cognitive decline,0.6375,0.2565,0.093,0.2565,0.7305,54519,21672
OlmoEarth-1.2 Base,SDI,COLON_SCREEN,Colorectal cancer screening,0.4171,0.4157,0.2423,0.4157,0.6594,59103,21671
OlmoEarth-1.2 Base,SDI,COPD,COPD,0.0038,0.4579,0.4562,0.4579,0.46,54519,21672
OlmoEarth-1.2 Base,SDI,CSMOKING,Current smoking,0.2489,0.4691,0.3524,0.4691,0.6013,54519,21672
OlmoEarth-1.2 Base,SDI,DENTAL,Dental visit,0.56,0.09,0.0396,0.09,0.5996,59105,21672
OlmoEarth-1.2 Base,SDI,DEPRESSION,Depression,-0.1391,0.135,0.1538,0.135,0.0147,54519,21672
OlmoEarth-1.2 Base,SDI,DIABETES,Diabetes,0.159,0.3442,0.2895,0.3442,0.4485,54519,21672
OlmoEarth-1.2 Base,SDI,DISABILITY,Any disability,0.4287,0.3559,0.2033,0.3559,0.632,54519,21672
OlmoEarth-1.2 Base,SDI,EMOTIONSPT,Emotional support,0.4183,0.248,0.1443,0.248,0.5626,39650,18298
OlmoEarth-1.2 Base,SDI,FOODINSECU,Food insecurity,0.7253,0.2758,0.0758,0.2758,0.8011,39650,18298
OlmoEarth-1.2 Base,SDI,FOODSTAMP,Food stamp use,0.722,0.0808,0.0225,0.0808,0.7445,39650,18298
OlmoEarth-1.2 Base,SDI,GHLTH,Fair/poor general health,0.584,0.3514,0.1462,0.3514,0.7302,54519,21672
OlmoEarth-1.2 Base,SDI,HEARING,Hearing disability,-0.0927,0.2755,0.301,0.2755,0.2083,54519,21672
OlmoEarth-1.2 Base,SDI,HIGHCHOL,High cholesterol,-0.0672,0.2313,0.2468,0.2313,0.1796,54519,21672
OlmoEarth-1.2 Base,SDI,HOUSINSECU,Housing insecurity,0.7008,0.2546,0.0762,0.2546,0.777,39650,18298
OlmoEarth-1.2 Base,SDI,INDEPLIVE,Independent living difficulty,0.5826,0.3176,0.1326,0.3176,0.7152,54519,21672
OlmoEarth-1.2 Base,SDI,LACKTRPT,Lack of transportation,0.7422,0.2173,0.056,0.2174,0.7982,39650,18298
OlmoEarth-1.2 Base,SDI,LONELINESS,Loneliness,0.3867,-0.0813,0,0,0.3867,39650,18298
OlmoEarth-1.2 Base,SDI,LPA,Physical inactivity,0.4118,0.296,0.1741,0.296,0.5859,54519,21672
OlmoEarth-1.2 Base,SDI,MAMMOUSE,Mammography use,0.2019,0.163,0.1301,0.163,0.332,59074,21664
OlmoEarth-1.2 Base,SDI,MHLTH,Poor mental health days,0.5141,0.2023,0.0983,0.2023,0.61240000000000006,54519,21672
OlmoEarth-1.2 Base,SDI,MOBILITY,Mobility disability,0.2657,0.3681,0.2703,0.3681,0.536,54519,21672
OlmoEarth-1.2 Base,SDI,OBESITY,Obesity,-0.0822,0.3863,0.418,0.3863,0.3358,54519,21672
OlmoEarth-1.2 Base,SDI,PHLTH,Poor physical health days,0.3663,0.3566,0.226,0.3566,0.5923,54519,21672
OlmoEarth-1.2 Base,SDI,SELFCARE,Self-care disability,0.4924,0.3312,0.1681,0.3312,0.6605,54519,21672
OlmoEarth-1.2 Base,SDI,SHUTUTILITY,Utility shutoff,0.558,0.1428,0.0631,0.1428,0.6211,39650,18298
OlmoEarth-1.2 Base,SDI,SLEEP,Short sleep duration,0.2326,0.0852,0.0654,0.0852,0.298,59105,21672
OlmoEarth-1.2 Base,SDI,STROKE,Stroke,0.0798,0.3834,0.3528,0.3834,0.4326,54519,21672
OlmoEarth-1.2 Base,SDI,TEETHLOST,Tooth loss,0.438,0.2785,0.1565,0.2785,0.5945,59080,21666
OlmoEarth-1.2 Base,SDI,VISION,Vision disability,0.62,0.2856,0.1085,0.2856,0.7285,54519,21672
OlmoEarth-1.2 Base,SVI,ACCESS2,Lack of health insurance,0.1622,-0.4372,0,0,0.1622,54519,21672
OlmoEarth-1.2 Base,SVI,ARTHRITIS,Arthritis,0.1132,0.3598,0.3191,0.3598,0.4323,54519,21672
OlmoEarth-1.2 Base,SVI,BINGE,Binge drinking,0.0838,0.1142,0.1046,0.1142,0.1884,54519,21672
OlmoEarth-1.2 Base,SVI,BPHIGH,High blood pressure,-0.1204,0.3607,0.4041,0.3607,0.2837,54519,21672
OlmoEarth-1.2 Base,SVI,BPMED,BP medication use,-0.0217,0.3307,0.3379,0.3307,0.3162,54519,21672
OlmoEarth-1.2 Base,SVI,CANCER,Cancer (excl. skin),0.3559,0.2993,0.1928,0.2993,0.5487,54519,21672
OlmoEarth-1.2 Base,SVI,CASTHMA,Current asthma,0.0297,0.3341,0.3242,0.3341,0.3539,54519,21672
OlmoEarth-1.2 Base,SVI,CHD,Coronary heart disease,-0.0352,0.3218,0.3331,0.3217,0.2979,54519,21672
OlmoEarth-1.2 Base,SVI,CHECKUP,Annual checkup,0.0593,0.4168,0.3921,0.4168,0.4514,54519,21672
OlmoEarth-1.2 Base,SVI,CHOLSCREEN,Cholesterol screening,0.2798,0.2611,0.1881,0.2611,0.4679,54519,21672
OlmoEarth-1.2 Base,SVI,COGNITION,Cognitive decline,0.3292,0.2757,0.1849,0.2757,0.5141,54519,21672
OlmoEarth-1.2 Base,SVI,COLON_SCREEN,Colorectal cancer screening,0.5699,0.2055,0.0884,0.2055,0.6583,59103,21671
OlmoEarth-1.2 Base,SVI,COPD,COPD,-0.0485,0.3775,0.3957,0.3774,0.3472,54519,21672
OlmoEarth-1.2 Base,SVI,CSMOKING,Current smoking,0.0076,0.4043,0.4012,0.4043,0.4088,54519,21672
OlmoEarth-1.2 Base,SVI,DENTAL,Dental visit,0.2369,0.0721,0.055,0.0721,0.2919,59105,21672
OlmoEarth-1.2 Base,SVI,DEPRESSION,Depression,-0.116,0.0201,0.0224,0.0201,-0.0936,54519,21672
OlmoEarth-1.2 Base,SVI,DIABETES,Diabetes,0.0431,0.3043,0.2912,0.3043,0.3343,54519,21672
OlmoEarth-1.2 Base,SVI,DISABILITY,Any disability,0.2235,0.2963,0.2301,0.2963,0.4536,54519,21672
OlmoEarth-1.2 Base,SVI,EMOTIONSPT,Emotional support,0.6206,0.1661,0.063,0.1661,0.6836,39650,18298
OlmoEarth-1.2 Base,SVI,FOODINSECU,Food insecurity,0.4205,0.2209,0.128,0.2209,0.5485,39650,18298
OlmoEarth-1.2 Base,SVI,FOODSTAMP,Food stamp use,0.3773,0.2259,0.1407,0.2259,0.518,39650,18298
OlmoEarth-1.2 Base,SVI,GHLTH,Fair/poor general health,0.4377,0.2809,0.158,0.2809,0.5957,54519,21672
OlmoEarth-1.2 Base,SVI,HEARING,Hearing disability,-0.0504,0.2421,0.2543,0.2421,0.2039,54519,21672
OlmoEarth-1.2 Base,SVI,HIGHCHOL,High cholesterol,-0.0941,0.2645,0.2894,0.2645,0.1953,54519,21672
OlmoEarth-1.2 Base,SVI,HOUSINSECU,Housing insecurity,0.4591,0.1317,0.0712,0.1317,0.5303,39650,18298
OlmoEarth-1.2 Base,SVI,INDEPLIVE,Independent living difficulty,0.2327,0.2873,0.2204,0.2873,0.4531,54519,21672
OlmoEarth-1.2 Base,SVI,LACKTRPT,Lack of transportation,0.3613,0.2075,0.1325,0.2075,0.4938,39650,18298
OlmoEarth-1.2 Base,SVI,LONELINESS,Loneliness,0.4069,0.0309,0.0183,0.0309,0.4252,39650,18298
OlmoEarth-1.2 Base,SVI,LPA,Physical inactivity,0.2023,0.2663,0.2124,0.2663,0.4147,54519,21672
OlmoEarth-1.2 Base,SVI,MAMMOUSE,Mammography use,0.1286,0.1306,0.1138,0.1306,0.2424,59074,21664
OlmoEarth-1.2 Base,SVI,MHLTH,Poor mental health days,0.1675,0.2425,0.2018,0.2424,0.3693,54519,21672
OlmoEarth-1.2 Base,SVI,MOBILITY,Mobility disability,0.1299,0.2955,0.2571,0.2955,0.387,54519,21672
OlmoEarth-1.2 Base,SVI,OBESITY,Obesity,-0.2228,0.2992,0.3658,0.2992,0.143,54519,21672
OlmoEarth-1.2 Base,SVI,PHLTH,Poor physical health days,0.2173,0.3048,0.2386,0.3048,0.4559,54519,21672
OlmoEarth-1.2 Base,SVI,SELFCARE,Self-care disability,0.2211,0.2884,0.2246,0.2884,0.4457,54519,21672
OlmoEarth-1.2 Base,SVI,SHUTUTILITY,Utility shutoff,0.0681,0.1467,0.1367,0.1467,0.2048,39650,18298
OlmoEarth-1.2 Base,SVI,SLEEP,Short sleep duration,-0.032,0.0844,0.0871,0.0844,0.0551,59105,21672
OlmoEarth-1.2 Base,SVI,STROKE,Stroke,0.0056,0.3066,0.3049,0.3066,0.3105,54519,21672
OlmoEarth-1.2 Base,SVI,TEETHLOST,Tooth loss,0.0656,0.2779,0.2596,0.2779,0.3252,59080,21666
OlmoEarth-1.2 Base,SVI,VISION,Vision disability,0.3603,0.2345,0.15,0.2345,0.5103,54519,21672
OlmoEarth-1.2 Nano,ReADI,ACCESS2,Lack of health insurance,0.5564,0.2218,0.0984,0.2218,0.6548,54519,21672
OlmoEarth-1.2 Nano,ReADI,ARTHRITIS,Arthritis,0.0474,0.493,0.4696,0.493,0.517,54519,21672
OlmoEarth-1.2 Nano,ReADI,BINGE,Binge drinking,0.1255,0.0114,0.01,0.0114,0.1355,54519,21672
OlmoEarth-1.2 Nano,ReADI,BPHIGH,High blood pressure,0.1779,0.3853,0.3167,0.3853,0.4946,54519,21672
OlmoEarth-1.2 Nano,ReADI,BPMED,BP medication use,-0.1216,0.3225,0.3617,0.3225,0.2401,54519,21672
OlmoEarth-1.2 Nano,ReADI,CANCER,Cancer (excl. skin),0.0658,0.4216,0.3939,0.4216,0.4597,54519,21672
OlmoEarth-1.2 Nano,ReADI,CASTHMA,Current asthma,0.2682,0.3244,0.2374,0.3244,0.5056,54519,21672
OlmoEarth-1.2 Nano,ReADI,CHD,Coronary heart disease,0.2783,0.3276,0.2365,0.3276,0.5148,54519,21672
OlmoEarth-1.2 Nano,ReADI,CHECKUP,Annual checkup,-0.2117,0.4044,0.49,0.4044,0.2783,54519,21672
OlmoEarth-1.2 Nano,ReADI,CHOLSCREEN,Cholesterol screening,0.3546,0.2302,0.1486,0.2302,0.5032,54519,21672
OlmoEarth-1.2 Nano,ReADI,COGNITION,Cognitive decline,0.7592,-0.066,0,0,0.7592,54519,21672
OlmoEarth-1.2 Nano,ReADI,COLON_SCREEN,Colorectal cancer screening,0.21,0.315,0.2489,0.315,0.4589,59103,21671
OlmoEarth-1.2 Nano,ReADI,COPD,COPD,0.4925,0.3806,0.1931,0.3805,0.6856,54519,21672
OlmoEarth-1.2 Nano,ReADI,CSMOKING,Current smoking,0.7358,0.1753,0.0463,0.1753,0.7821,54519,21672
OlmoEarth-1.2 Nano,ReADI,DENTAL,Dental visit,0.8091,-0.1174,0,0,0.8091,59105,21672
OlmoEarth-1.2 Nano,ReADI,DEPRESSION,Depression,-0.1154,-0.0568,0,0,-0.1154,54519,21672
OlmoEarth-1.2 Nano,ReADI,DIABETES,Diabetes,0.5521,0.1149,0.0515,0.1149,0.6036,54519,21672
OlmoEarth-1.2 Nano,ReADI,DISABILITY,Any disability,0.8041,-0.0744,0,0,0.8041,54519,21672
OlmoEarth-1.2 Nano,ReADI,EMOTIONSPT,Emotional support,0.1307,0.1598,0.1389,0.1598,0.2696,39650,18298
OlmoEarth-1.2 Nano,ReADI,FOODINSECU,Food insecurity,0.7415,0.2592,0.067,0.2592,0.8085,39650,18298
OlmoEarth-1.2 Nano,ReADI,FOODSTAMP,Food stamp use,0.7121,-0.0032,0,0,0.7121,39650,18298
OlmoEarth-1.2 Nano,ReADI,GHLTH,Fair/poor general health,0.7471,0.0505,0.0128,0.0505,0.7599,54519,21672
OlmoEarth-1.2 Nano,ReADI,HEARING,Hearing disability,0.1772,0.2896,0.2382,0.2896,0.4154,54519,21672
OlmoEarth-1.2 Nano,ReADI,HIGHCHOL,High cholesterol,-0.1048,0.2119,0.2341,0.2119,0.1293,54519,21672
OlmoEarth-1.2 Nano,ReADI,HOUSINSECU,Housing insecurity,0.6422,0.2803,0.1003,0.2803,0.7425,39650,18298
OlmoEarth-1.2 Nano,ReADI,INDEPLIVE,Independent living difficulty,0.8713,-0.2032,0,0,0.8713,54519,21672
OlmoEarth-1.2 Nano,ReADI,LACKTRPT,Lack of transportation,0.747,0.2505,0.0634,0.2505,0.8104,39650,18298
OlmoEarth-1.2 Nano,ReADI,LONELINESS,Loneliness,0.0431,0.0771,0.0738,0.0771,0.1169,39650,18298
OlmoEarth-1.2 Nano,ReADI,LPA,Physical inactivity,0.763,0.0372,0.0088,0.0372,0.7718,54519,21672
OlmoEarth-1.2 Nano,ReADI,MAMMOUSE,Mammography use,0.3255,0.1107,0.0747,0.1107,0.4002,59074,21664
OlmoEarth-1.2 Nano,ReADI,MHLTH,Poor mental health days,0.601,-0.0175,0,0,0.601,54519,21672
OlmoEarth-1.2 Nano,ReADI,MOBILITY,Mobility disability,0.6683,0.0808,0.0268,0.0808,0.6951,54519,21672
OlmoEarth-1.2 Nano,ReADI,OBESITY,Obesity,0.453,0.178,0.0974,0.178,0.5504,54519,21672
OlmoEarth-1.2 Nano,ReADI,PHLTH,Poor physical health days,0.7439,0.051,0.0131,0.051,0.757,54519,21672
OlmoEarth-1.2 Nano,ReADI,SELFCARE,Self-care disability,0.8046,-0.0105,0,0,0.8046,54519,21672
OlmoEarth-1.2 Nano,ReADI,SHUTUTILITY,Utility shutoff,0.7891,0.0507,0.0107,0.0507,0.7998,39650,18298
OlmoEarth-1.2 Nano,ReADI,SLEEP,Short sleep duration,0.4784,-0.0292,0,0,0.4784,59105,21672
OlmoEarth-1.2 Nano,ReADI,STROKE,Stroke,0.4841,0.2225,0.1148,0.2225,0.5989,54519,21672
OlmoEarth-1.2 Nano,ReADI,TEETHLOST,Tooth loss,0.8252,0.0414,0.0072,0.0414,0.8324,59080,21666
OlmoEarth-1.2 Nano,ReADI,VISION,Vision disability,0.8076,0.1713,0.033,0.1713,0.8406,54519,21672
OlmoEarth-1.2 Nano,SDI,ACCESS2,Lack of health insurance,0.4203,0.051,0.0296,0.051,0.4499,54519,21672
OlmoEarth-1.2 Nano,SDI,ARTHRITIS,Arthritis,-0.0314,0.408,0.4208,0.408,0.3894,54519,21672
OlmoEarth-1.2 Nano,SDI,BINGE,Binge drinking,0.0358,0.0633,0.061,0.0633,0.0968,54519,21672
OlmoEarth-1.2 Nano,SDI,BPHIGH,High blood pressure,-0.1748,0.3823,0.4492,0.3823,0.2744,54519,21672
OlmoEarth-1.2 Nano,SDI,BPMED,BP medication use,-0.0297,0.243,0.2502,0.243,0.2205,54519,21672
OlmoEarth-1.2 Nano,SDI,CANCER,Cancer (excl. skin),0.3253,0.275,0.1855,0.275,0.5108,54519,21672
OlmoEarth-1.2 Nano,SDI,CASTHMA,Current asthma,0.0585,0.3419,0.3219,0.3419,0.3804,54519,21672
OlmoEarth-1.2 Nano,SDI,CHD,Coronary heart disease,-0.0459,0.3307,0.3459,0.3307,0.3,54519,21672
OlmoEarth-1.2 Nano,SDI,CHECKUP,Annual checkup,-0.1091,0.3659,0.4058,0.3659,0.2967,54519,21672
OlmoEarth-1.2 Nano,SDI,CHOLSCREEN,Cholesterol screening,0.4886,0.0908,0.0464,0.0908,0.535,54519,21672
OlmoEarth-1.2 Nano,SDI,COGNITION,Cognitive decline,0.6375,0.1893,0.0686,0.1893,0.7061,54519,21672
OlmoEarth-1.2 Nano,SDI,COLON_SCREEN,Colorectal cancer screening,0.4171,0.252,0.1469,0.252,0.564,59103,21671
OlmoEarth-1.2 Nano,SDI,COPD,COPD,0.0038,0.395,0.3935,0.395,0.3973,54519,21672
OlmoEarth-1.2 Nano,SDI,CSMOKING,Current smoking,0.2489,0.3674,0.276,0.3675,0.5249,54519,21672
OlmoEarth-1.2 Nano,SDI,DENTAL,Dental visit,0.56,0.0372,0.0164,0.0372,0.5764,59105,21672
OlmoEarth-1.2 Nano,SDI,DEPRESSION,Depression,-0.1391,0.0143,0.0162,0.0143,-0.1229,54519,21672
OlmoEarth-1.2 Nano,SDI,DIABETES,Diabetes,0.159,0.2931,0.2465,0.2931,0.4055,54519,21672
OlmoEarth-1.2 Nano,SDI,DISABILITY,Any disability,0.4287,0.3152,0.1801,0.3152,0.6088,54519,21672
OlmoEarth-1.2 Nano,SDI,EMOTIONSPT,Emotional support,0.4183,0.0994,0.0578,0.0994,0.4761,39650,18298
OlmoEarth-1.2 Nano,SDI,FOODINSECU,Food insecurity,0.7253,0.2251,0.0618,0.2251,0.7871,39650,18298
OlmoEarth-1.2 Nano,SDI,FOODSTAMP,Food stamp use,0.722,0.0678,0.0188,0.0678,0.7408,39650,18298
OlmoEarth-1.2 Nano,SDI,GHLTH,Fair/poor general health,0.584,0.2959,0.1231,0.2959,0.7071,54519,21672
OlmoEarth-1.2 Nano,SDI,HEARING,Hearing disability,-0.0927,0.2511,0.2743,0.2511,0.1816,54519,21672
OlmoEarth-1.2 Nano,SDI,HIGHCHOL,High cholesterol,-0.0672,0.1597,0.1704,0.1597,0.1032,54519,21672
OlmoEarth-1.2 Nano,SDI,HOUSINSECU,Housing insecurity,0.7008,0.2106,0.063,0.2106,0.7638,39650,18298
OlmoEarth-1.2 Nano,SDI,INDEPLIVE,Independent living difficulty,0.5826,0.2861,0.1194,0.286,0.702,54519,21672
OlmoEarth-1.2 Nano,SDI,LACKTRPT,Lack of transportation,0.7422,0.1529,0.0394,0.1529,0.7816,39650,18298
OlmoEarth-1.2 Nano,SDI,LONELINESS,Loneliness,0.3867,-0.131,0,0,0.3867,39650,18298
OlmoEarth-1.2 Nano,SDI,LPA,Physical inactivity,0.4118,0.2735,0.1608,0.2735,0.5726,54519,21672
OlmoEarth-1.2 Nano,SDI,MAMMOUSE,Mammography use,0.2019,0.1025,0.0818,0.1025,0.2837,59074,21664
OlmoEarth-1.2 Nano,SDI,MHLTH,Poor mental health days,0.5141,0.1211,0.0588,0.1211,0.5729,54519,21672
OlmoEarth-1.2 Nano,SDI,MOBILITY,Mobility disability,0.2657,0.3174,0.233,0.3173,0.4987,54519,21672
OlmoEarth-1.2 Nano,SDI,OBESITY,Obesity,-0.0822,0.2396,0.2593,0.2396,0.1771,54519,21672
OlmoEarth-1.2 Nano,SDI,PHLTH,Poor physical health days,0.3663,0.3085,0.1955,0.3085,0.5618,54519,21672
OlmoEarth-1.2 Nano,SDI,SELFCARE,Self-care disability,0.4924,0.2906,0.1475,0.2906,0.6399,54519,21672
OlmoEarth-1.2 Nano,SDI,SHUTUTILITY,Utility shutoff,0.558,0.0828,0.0366,0.0828,0.5946,39650,18298
OlmoEarth-1.2 Nano,SDI,SLEEP,Short sleep duration,0.2326,0.0034,0.0026,0.0034,0.2352,59105,21672
OlmoEarth-1.2 Nano,SDI,STROKE,Stroke,0.0798,0.3325,0.306,0.3326,0.3858,54519,21672
OlmoEarth-1.2 Nano,SDI,TEETHLOST,Tooth loss,0.438,0.2348,0.132,0.2348,0.57,59080,21666
OlmoEarth-1.2 Nano,SDI,VISION,Vision disability,0.62,0.2711,0.103,0.2711,0.723,54519,21672
OlmoEarth-1.2 Nano,SVI,ACCESS2,Lack of health insurance,0.1622,-0.3726,0,0,0.1622,54519,21672
OlmoEarth-1.2 Nano,SVI,ARTHRITIS,Arthritis,0.1132,0.3216,0.2852,0.3216,0.3984,54519,21672
OlmoEarth-1.2 Nano,SVI,BINGE,Binge drinking,0.0838,0.0573,0.0525,0.0573,0.1363,54519,21672
OlmoEarth-1.2 Nano,SVI,BPHIGH,High blood pressure,-0.1204,0.3025,0.3389,0.3025,0.2185,54519,21672
OlmoEarth-1.2 Nano,SVI,BPMED,BP medication use,-0.0217,0.2523,0.2578,0.2523,0.2361,54519,21672
OlmoEarth-1.2 Nano,SVI,CANCER,Cancer (excl. skin),0.3559,0.2446,0.1575,0.2446,0.5134,54519,21672
OlmoEarth-1.2 Nano,SVI,CASTHMA,Current asthma,0.0297,0.2094,0.2032,0.2094,0.2329,54519,21672
OlmoEarth-1.2 Nano,SVI,CHD,Coronary heart disease,-0.0352,0.2859,0.2959,0.2859,0.2607,54519,21672
OlmoEarth-1.2 Nano,SVI,CHECKUP,Annual checkup,0.0593,0.3135,0.2949,0.3135,0.3542,54519,21672
OlmoEarth-1.2 Nano,SVI,CHOLSCREEN,Cholesterol screening,0.2798,0.0674,0.0485,0.0674,0.3283,54519,21672
OlmoEarth-1.2 Nano,SVI,COGNITION,Cognitive decline,0.3292,0.1469,0.0985,0.1469,0.4277,54519,21672
OlmoEarth-1.2 Nano,SVI,COLON_SCREEN,Colorectal cancer screening,0.5699,0.1469,0.0632,0.1469,0.6331,59103,21671
